hidden_layer_sizes,lambda_reg,activation,initialization_mode,avg_val_mape,avg_val_reg_error,avg_initial_loss,avg_final_loss,avg_initial_train_mape,avg_final_train_mape,avg_iterations,avg_optimization_time_seconds,success_rate,unique_messages
"[128, 64, 32]",0.01,swish,xavier,23.595567103064077,101.05175031813367,1677.505506383975,100.97627962723166,100.08129804870552,23.584208020042645,39.0,28.74640374183655,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.1,relu,he,23.36244598559384,132.46987233162793,1743.1505210409937,132.1433050048964,101.17468601006287,23.366358463884342,57.2,31.00759563446045,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.1,relu,xavier,23.938671083355725,116.68969594773384,1709.1074291437903,116.39044427940487,100.4944677018188,23.860411294155785,41.8,21.620847940444946,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.1,tanh,he,23.309417637512485,124.18573752777891,1721.4114327093262,123.7744776865331,99.22292902268033,23.267615171062296,104.6,42.601219511032106,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.1,tanh,xavier,23.298915264207494,114.73518319653192,1696.3729743050803,114.49669048190995,100.06144773463174,23.270017985057713,105.2,39.67171564102173,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.1,swish,he,23.382989955657667,145.04393821723994,1727.06491146788,145.1648969484274,100.14121624164694,23.412540874909002,36.4,23.40836296081543,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32]",0.1,swish,xavier,23.48438265381396,110.47969211537045,1694.8010371677083,110.54189876570013,99.9893678316691,23.42800509456422,56.8,33.83609385490418,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.001,relu,he,23.43954364245004,98.52849333060522,1715.9018621648288,98.57896495458239,100.83525335710132,23.414206978694445,34.0,18.257015657424926,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.001,relu,xavier,23.46183878570752,98.23331525194571,1676.5509215783434,98.2093826290898,99.93864795292964,23.453678288565403,35.4,17.807228374481202,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.001,tanh,he,23.443094425670772,99.96093312012478,1672.1350419340993,99.05262946088783,99.20081872954216,23.34929659053726,65.0,25.952093410491944,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
